,id,vin,price,miles,stock_no,year,make,model,trim,body_type,vehicle_type,drivetrain,transmission,fuel_type,engine_size,engine_block,seller_name,street,city,state,zip
1173,8dc06c4f-3db3,3C6UR5DJXKG544969,44995.0,20048.0,M25067,2019,RAM,Ram 2500 Pickup,Big Horn,Pickup,Truck,4WD,Automatic,Unleaded,6.4,V,don bessette hyundai,1715 North Broadway,Minot,ND,58703.0
1174,cd5c2389-14ce,WDBTK76G15T051631,19900.0,57639.0,V15491,2005,Mercedes-Benz,CLK-Class,CLK55,Convertible,Car,RWD,Automatic,Premium Unleaded,5.4,V,tynan's volkswagen,700 South Havana,Aurora,CO,80012.0
1175,adc4267e-020c,1GTP6FE16M1123464,,3673.0,GP373,2021,GMC,Canyon,AT4,Pickup,Truck,4WD,Automatic,Diesel,2.8,I,richland chrysler jeep dodge ram,1309 Se Main St,Roswell,NM,88203.0
1176,0e68baf5-f535,5UXKR6C52G0J82821,34987.0,43300.0,G0J82821,2016,BMW,X5,xDrive50i,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,sandia bmw,6001 Pan American Fwy,Albuquerque,NM,87109.0
1177,45e28686-299e,5UXKR6C50J0U14579,48900.0,43082.0,430425A,2018,BMW,X5,xDrive50i,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,bmw of omaha,14800 Davenport St,Omaha,NE,68154.0
1178,eae06168-c23b,MAJ3P1TE2JC210367,19981.0,19021.0,C11018X,2018,Ford,Ecosport,SE,Crossover,Truck,FWD,Automatic,Unleaded,1.0,I,crossroads cars,11124 Capital Blvd,Wake Forest,NC,27587.0
1179,be433177-7690,WP0AE2A76JL177293,84575.0,11300.0,JL177293,2018,Porsche,Panamera,4 E-Hybrid,Hatchback,Car,4WD,Manual,Electric / Premium Unleaded,2.9,V,mclaren philadelphia,1631 W Chester Pike,West Chester,PA,19382.0
1180,a51f70d6-e35f,1G2NE52F45M251548,4000.0,141698.0,P2494A,2005,Pontiac,Grand Am,SE,Sedan,Car,FWD,Manual,Unleaded,2.2,I,subaru of corvallis,800 Nw 5th St,Corvallis,OR,97330.0
1181,ad6e7e96-4d62,1G1ND52F25M129813,5977.0,168629.0,14016,2005,Chevrolet,Classic,Base,Sedan,Car,FWD,Automatic,Unleaded,2.2,I,city auto wholesale,13305 Se Mcloughlin,Milwaukie,OR,97222.0
1182,21575a1d-8191,1GKDT13S372220215,7995.0,113021.0,EW220215,2007,GMC,Envoy,SLT,SUV,Truck,4WD,Automatic,Unleaded,4.2,I,herzog-meier auto center,4275 Sw 139th Way,Beaverton,OR,97005.0
1183,28ca8a89-96bf,WDDNG7DB9DA517132,23000.0,69971.0,90133W,2013,Mercedes-Benz,S-Class,S550,Sedan,Car,RWD,Automatic,Premium Unleaded,4.7,V,preston ford of keller,31066 Lankford Highway,Keller,VA,23401.0
1184,f83e25a5-1196,1GNET16S946202745,3900.0,236125.0,202745,2004,Chevrolet,TrailBlazer,LS,SUV,Truck,4WD,Automatic,Unleaded,4.2,I,dutch's ford,745 Indian Mound Drive-on The Bypass,Mount Sterling,KY,40353.0
1185,ce3b7167-5c50,1GCWGAFF1H1351271,24422.0,73125.0,P4355F,2017,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,E85 / Unleaded,4.8,V,chapman dodge chrysler jeep ram scottsdale,3800 N 89th St.,Scottsdale,AZ,85251.0
1186,4bbe5b8c-c3df,1GCWGBFP6L1142230,29888.0,28398.0,XR9854,2020,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,Unleaded,4.3,V,putnam buick gmc,100 California Dr.,Burlingame,CA,94010.0
1187,ac16ab24-1bf3,ZAM45VLAXJ0271259,77988.0,8169.0,J0271259,2018,Maserati,GranTurismo,MC,Coupe,Car,RWD,Automatic,Premium Unleaded,4.7,V,atlanta luxury motors,1071 Cobb Pkwy Se,Marietta,GA,30060.0
1188,d57d0d26-234b,MAJ3P1VE1JC178198,18925.0,54161.0,T07100A,2018,Ford,Ecosport,Titanium,Crossover,Truck,FWD,Automatic,Unleaded,1.0,I,crossroads ford henderson,1675 Dabney Drive,Henderson,NC,27536.0
1189,5301a19a-0275,WDCYC7DF9FX237825,89992.0,45065.0,TFX237825,2015,Mercedes-Benz,G-Class,G63 AMG®,SUV,Truck,4WD,Automatic,Premium Unleaded,5.5,V,holman automotive,900 E Sunrise Blvd,Fort Lauderdale,FL,33304.0
1190,9c89a2ac-2379,WBA7U2C0XMCF56590,116160.0,1.0,B8019,2021,BMW,7 Series,750i,Sedan,Car,4WD,Automatic,Premium Unleaded,4.4,V,bmw of minnetonka,15802 Wayzata Boulevard,Wayzata,MN,55391.0
1191,4056223a-3280,JTNJJXB05DJ024202,8950.0,89173.0,11166,2013,Scion,iQ,Base,Micro Car,Car,FWD,Automatic,Unleaded,1.3,I,sunset auto sales & classics,1409 Washington Road,Thomson,GA,30824.0
1192,abe3b089-c6c0,3G5DB03E54S581987,4999.0,161130.0,,2004,Buick,Rendezvous,CX AWD,SUV,Truck,4WD,Automatic,Unleaded,3.4,V,"cjs auto sales, llc",2810 North Pacific Highway,Medford,OR,97501.0
1193,ff8ad15d-21ff,WP1AB2AYXLDA28124,87998.0,6684.0,R1954,2020,Porsche,Cayenne,S,SUV,Truck,4WD,Automatic,Premium Unleaded,2.9,V,bmw of sudbury,68 Old County Rd,Sudbury,MA,1776.0
1194,c38509ee-9bfd,1GCWGAFP5L1148465,33648.0,48990.0,FR21R090,2020,Chevrolet,Express Cargo,Work Van,Cargo Van,Truck,RWD,Automatic,Unleaded,4.3,V,west herr buick gmc,535 Main Street,East Aurora,NY,14052.0
1195,e7af022e-3aa4,4JGDF7DEXHA855739,68205.0,30637.0,B16103,2017,Mercedes-Benz,GLS-Class,GLS550,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,mercedes-benz of sacramento,1810 Howe Avenue,Sacramento,CA,95825.0
1196,04003083-caec,5YMKT6C5XJ0Y83737,74915.0,35586.0,BR21L076,2018,BMW,X5,M,SUV,Truck,4WD,Automatic,Premium Unleaded,4.4,V,west herr chevrolet of hamburg,5025 Southwestern Blvd,Hamburg,NY,14075.0
1197,af42e90d-374b,WBS6E9C58KG808400,79988.0,20664.0,P6200,2019,BMW,M6 Gran Coupe,Base,Coupe,Car,RWD,Automatic,Premium Unleaded,4.4,V,dale earnhardt jr buick gmc,1850 Capital Circle Ne,Tallahassee,FL,32308.0
1198,5c868264-b1d1,ZFF79ALA6G0217613,214999.0,20335.0,LT1443,2016,Ferrari,488 GTB,Base,Coupe,Car,RWD,Automatic,Unleaded,3.9,V,boardwalk auto group,6300 International Pkwy,Plano,TX,75093.0
1199,73985e5e-e9f9,1FDWE3FL3FDA34218,59800.0,27718.0,A34218T,2015,Ford,E-Series Cutaway,Base,Cutaway,Truck,RWD,Automatic,E85 / Unleaded,5.4,V,south tacoma auto,7838 South Way,Tacoma,WA,98409.0
1200,c215f367-7a5b,1FMPU18L0YLC41974,4988.0,142692.0,11863T,2000,Ford,Expedition,Base,SUV,Truck,4WD,Automatic,Unleaded,5.4,V,econo auto sales,4404 West Colfax Avenue,Denver,CO,80204.0
1201,70936ad7-63af,1GCFG15X851175728,10500.0,95714.0,3906,2005,Chevrolet,Express Cargo,Work,Cargo Van,Truck,RWD,Automatic,Unleaded,4.3,V,tlc works inc.,301 North Brightleaf Boulevard,Smithfield,NC,27577.0
1202,18950bb3-5228,ZHWUC1ZF0FLA01432,,,FLA01432A,2015,Lamborghini,Huracan,Base,Coupe,Car,4WD,Automatic,Premium Unleaded,5.2,V,eurocar inc.,2920 Red Hill Avenue,Costa Mesa,CA,92626.0
1203,6530c73f-9348,WDDUG8FB3FA106293,46995.0,50963.0,FA106293,2015,Mercedes-Benz,S-Class,S550,Sedan,Car,4WD,Automatic,Premium Unleaded,4.7,V,21st century auto group,305 Highway 22,Springfield,NJ,7081.0
1204,f5c589a9-890b,4JGBF7BE5CA780581,12995.0,135772.0,780581,2012,Mercedes-Benz,GL-Class,GL450,SUV,Truck,4WD,Automatic,Premium Unleaded,4.7,V,hallmark motors,4201 West Overland Road,Boise,ID,83705.0
1205,96d40741-f6f9,1GCPTEE14K1163008,43999.0,74943.0,,2019,Chevrolet,Colorado,ZR2,Pickup,Truck,4WD,Automatic,Diesel,2.8,I,landmark of taylorville,1531 W Springfield Road,Taylorville,IL,62568.0
1206,54736ff4-3355,ML32F3FJ3KHF04139,8271.0,95673.0,3496P,2019,Mitsubishi,Mirage G4,ES,Sedan,Car,FWD,Manual,Unleaded,1.2,I,westgate dodge ram wake forest,10936 Star Rd,Wake Forest,NC,27587.0
